iter	Passed	Remaining
0	2	203
1	3	188
2	5	175
3	6	156
4	8	153
5	9	148
6	10	144
7	12	140
8	13	138
9	15	135
10	16	133
11	17	131
12	19	128
13	20	126
14	21	124
15	23	123
16	25	123
17	27	123
18	29	123
19	30	123
20	32	121
21	33	119
22	35	117
23	36	116
24	38	114
25	40	114
26	41	112
27	43	111
28	45	110
29	46	108
30	47	106
31	49	105
32	50	103
33	52	101
34	53	99
35	55	98
36	56	96
37	58	94
38	59	93
39	60	91
40	62	90
41	63	87
42	64	85
43	67	85
44	68	84
45	70	82
46	71	80
47	72	79
48	74	77
49	75	75
50	77	74
51	78	72
52	79	70
53	81	69
54	82	67
55	83	65
56	84	64
57	86	62
58	87	61
59	89	59
60	91	58
61	92	56
62	94	55
63	95	53
64	96	52
65	98	50
66	99	48
67	100	47
68	102	45
69	103	44
70	105	43
71	106	41
72	108	40
73	109	38
74	111	37
75	112	35
76	113	34
77	115	32
78	116	30
79	117	29
80	119	27
81	121	26
82	122	25
83	124	23
84	126	22
85	127	20
86	129	19
87	131	17
88	133	16
89	135	15
90	136	13
91	137	11
92	139	10
93	140	8
94	142	7
95	143	5
96	145	4
97	146	2
98	147	1
99	149	0
