iter	Passed	Remaining
0	2	2371
1	5	2736
2	8	2671
3	10	2663
4	13	2590
5	14	2464
6	16	2389
7	19	2415
8	21	2376
9	23	2331
10	25	2288
11	27	2258
12	29	2225
13	32	2267
14	34	2251
15	36	2219
16	38	2201
17	39	2170
18	41	2141
19	44	2170
20	46	2172
21	48	2150
22	50	2128
23	52	2117
24	54	2136
25	56	2135
26	58	2122
27	60	2106
28	62	2095
29	64	2080
30	68	2138
31	70	2135
32	72	2121
33	74	2107
34	76	2096
35	78	2111
36	81	2112
37	83	2108
38	85	2101
39	87	2091
40	90	2112
41	92	2112
42	94	2106
43	96	2097
44	98	2086
45	101	2097
46	103	2094
47	105	2091
48	107	2083
49	109	2075
50	111	2068
51	114	2084
52	116	2077
53	117	2066
54	119	2057
55	121	2051
56	123	2044
57	125	2044
58	128	2043
59	130	2036
60	131	2027
61	133	2020
62	136	2028
63	138	2029
64	140	2024
65	142	2017
66	144	2010
67	146	2003
68	149	2013
69	151	2012
70	153	2006
71	155	2000
72	156	1993
73	159	1992
74	161	1992
75	164	1995
76	166	1990
77	167	1984
78	169	1978
79	172	1986
80	174	1984
81	177	1981
82	178	1969
83	180	1965
84	183	1972
85	185	1970
86	187	1965
87	189	1961
88	191	1959
89	193	1958
90	196	1963
91	198	1963
92	200	1957
93	202	1950
94	204	1947
95	207	1958
96	210	1957
97	212	1953
98	214	1949
99	216	1946
100	219	1955
101	222	1954
102	224	1951
103	226	1947
104	228	1943
105	230	1947
106	233	1947
107	235	1943
108	237	1940
109	239	1935
110	242	1943
111	245	1943
112	247	1941
113	249	1937
114	251	1933
115	254	1940
116	256	1934
117	258	1930
118	260	1928
119	262	1923
120	265	1925
121	267	1922
122	269	1922
123	272	1923
124	274	1922
125	277	1924
126	279	1920
127	281	1916
128	283	1913
129	285	1909
130	288	1916
131	291	1915
132	293	1911
133	295	1906
134	296	1901
135	299	1903
136	302	1903
137	304	1900
138	306	1899
139	309	1898
140	312	1902
141	314	1897
142	316	1895
143	318	1890
144	319	1886
145	322	1884
146	324	1882
147	326	1879
148	328	1875
149	330	1871
150	332	1869
151	335	1873
152	337	1870
153	340	1868
154	342	1866
155	344	1864
156	347	1866
157	349	1864
158	352	1862
159	354	1859
160	355	1853
161	359	1857
162	361	1853
163	363	1850
164	365	1848
165	367	1845
166	370	1850
167	373	1849
168	375	1846
169	377	1843
170	379	1840
171	382	1840
172	384	1839
173	386	1836
174	388	1832
175	390	1829
176	393	1830
177	395	1826
178	397	1823
179	399	1821
180	401	1818
181	405	1820
182	407	1818
183	409	1815
184	411	1812
185	414	1812
186	417	1815
187	419	1812
188	422	1812
189	424	1809
190	428	1814
191	430	1812
192	432	1810
193	435	1807
194	437	1804
195	445	1828
196	447	1824
197	449	1821
198	452	1821
199	454	1819
200	456	1815
201	458	1812
202	461	1812
203	464	1810
204	466	1807
205	468	1804
206	470	1800
207	472	1797
208	475	1797
209	477	1795
210	479	1792
211	481	1790
212	483	1787
213	486	1788
214	488	1784
215	490	1781
216	492	1777
217	494	1775
218	498	1776
219	500	1773
220	502	1770
221	504	1767
222	506	1764
223	510	1768
224	512	1766
225	514	1762
226	516	1759
227	518	1756
228	522	1758
229	524	1755
230	526	1752
231	528	1749
232	530	1746
233	533	1747
234	536	1745
235	538	1742
236	540	1739
237	543	1740
238	546	1738
239	548	1736
240	550	1734
241	552	1731
242	557	1737
243	560	1735
244	562	1732
245	564	1730
246	567	1731
247	570	1729
248	572	1726
249	574	1724
250	576	1721
251	579	1720
252	581	1717
253	583	1715
254	585	1711
255	587	1708
256	590	1707
257	593	1705
258	595	1702
259	596	1699
260	598	1695
261	602	1697
262	605	1696
263	607	1693
264	609	1690
265	611	1687
266	614	1688
267	617	1686
268	619	1683
269	621	1680
270	623	1677
271	626	1677
272	628	1675
273	630	1671
274	632	1668
275	634	1665
276	637	1663
277	639	1660
278	641	1658
279	643	1655
280	646	1655
281	649	1653
282	651	1651
283	653	1648
284	655	1644
285	657	1641
286	660	1641
287	663	1639
288	664	1636
289	666	1632
290	668	1629
291	671	1627
292	673	1625
293	676	1623
294	678	1620
295	680	1617
296	683	1618
297	686	1616
298	688	1613
299	690	1610
300	692	1607
301	694	1606
302	696	1603
303	698	1599
304	701	1598
305	703	1595
306	706	1594
307	708	1591
308	710	1588
309	711	1584
310	713	1581
311	716	1579
312	718	1576
313	720	1574
314	722	1570
315	724	1567
316	726	1564
317	729	1565
318	731	1562
319	733	1559
320	735	1556
321	737	1553
322	741	1553
323	743	1550
324	745	1547
325	746	1544
326	748	1540
327	751	1538
328	753	1537
329	755	1534
330	757	1531
331	759	1528
332	762	1526
333	764	1524
334	766	1521
335	768	1518
336	770	1515
337	771	1511
338	774	1510
339	776	1507
340	778	1504
341	780	1501
342	782	1498
343	784	1495
344	787	1495
345	789	1493
346	791	1489
347	793	1486
348	795	1483
349	798	1483
350	800	1480
351	802	1478
352	804	1474
353	806	1471
354	808	1468
355	811	1468
356	813	1465
357	815	1462
358	817	1459
359	819	1456
360	821	1454
361	824	1452
362	826	1450
363	828	1448
364	830	1445
365	833	1444
366	836	1441
367	837	1439
368	839	1436
369	841	1433
370	844	1431
371	846	1428
372	848	1426
373	850	1423
374	852	1421
375	854	1418
376	857	1417
377	859	1415
378	862	1412
379	864	1410
380	866	1408
381	869	1407
382	871	1404
383	874	1402
384	876	1399
385	878	1397
386	881	1396
387	883	1393
388	885	1390
389	887	1388
390	889	1385
391	892	1384
392	894	1382
393	896	1379
394	898	1376
395	900	1374
396	904	1374
397	907	1372
398	909	1369
399	911	1367
400	913	1364
401	916	1363
402	918	1361
403	921	1359
404	923	1356
405	926	1355
406	929	1353
407	930	1350
408	932	1348
409	934	1345
410	937	1344
411	940	1342
412	943	1340
413	944	1337
414	947	1334
415	950	1334
416	952	1332
417	954	1329
418	956	1326
419	958	1323
420	962	1323
421	964	1320
422	966	1318
423	968	1315
424	970	1312
425	973	1311
426	975	1309
427	978	1307
428	980	1304
429	982	1301
430	985	1301
431	987	1298
432	989	1296
433	991	1293
434	993	1290
435	995	1287
436	998	1285
437	1000	1283
438	1001	1280
439	1003	1277
440	1005	1274
441	1008	1272
442	1010	1270
443	1012	1268
444	1014	1265
445	1016	1262
446	1018	1260
447	1023	1260
448	1025	1258
449	1028	1256
450	1030	1254
451	1035	1254
452	1037	1252
453	1039	1250
454	1041	1247
455	1045	1247
456	1047	1245
457	1049	1242
458	1051	1239
459	1053	1236
460	1056	1235
461	1058	1232
462	1060	1230
463	1062	1227
464	1064	1224
465	1066	1221
466	1068	1219
467	1070	1217
468	1072	1214
469	1074	1212
470	1076	1209
471	1079	1207
472	1081	1205
473	1083	1202
474	1085	1199
475	1087	1197
476	1089	1194
477	1092	1192
478	1094	1190
479	1096	1188
480	1098	1185
481	1100	1182
482	1103	1181
483	1105	1178
484	1107	1176
485	1109	1173
486	1111	1170
487	1112	1167
488	1115	1166
489	1118	1163
490	1119	1161
491	1121	1158
492	1123	1155
493	1126	1153
494	1128	1151
495	1130	1149
496	1132	1146
497	1134	1143
498	1136	1140
499	1139	1139
500	1141	1136
501	1143	1134
502	1145	1131
503	1147	1129
504	1149	1127
505	1152	1124
506	1154	1122
507	1155	1119
508	1158	1117
509	1161	1116
510	1163	1113
511	1165	1111
512	1167	1108
513	1169	1105
514	1171	1103
515	1175	1102
516	1178	1100
517	1179	1097
518	1181	1095
519	1183	1092
520	1188	1092
521	1190	1089
522	1192	1087
523	1194	1084
524	1196	1082
525	1199	1080
526	1201	1078
527	1203	1075
528	1205	1073
529	1208	1071
530	1210	1069
531	1213	1067
532	1215	1064
533	1217	1062
534	1219	1060
535	1222	1057
536	1224	1055
537	1226	1053
538	1228	1050
539	1230	1048
540	1233	1046
541	1235	1043
542	1237	1041
543	1239	1038
544	1241	1036
545	1244	1035
546	1246	1032
547	1248	1030
548	1251	1027
549	1252	1024
550	1256	1024
551	1259	1021
552	1261	1019
553	1263	1017
554	1265	1014
555	1268	1012
556	1270	1010
557	1272	1007
558	1274	1005
559	1276	1002
560	1327	1038
561	1332	1038
562	1335	1036
563	1337	1034
564	1344	1034
565	1347	1033
566	1349	1030
567	1351	1027
568	1352	1024
569	1356	1023
570	1358	1020
571	1360	1017
572	1361	1014
573	1363	1012
574	1366	1009
575	1368	1007
576	1370	1004
577	1372	1002
578	1374	999
579	1376	996
580	1378	994
581	1381	991
582	1383	989
583	1384	986
584	1386	983
585	1388	980
586	1390	978
587	1393	976
588	1395	973
589	1397	970
590	1399	968
591	1402	966
592	1404	963
593	1406	961
594	1408	958
595	1410	956
596	1414	955
597	1417	952
598	1419	950
599	1421	947
600	1424	945
601	1426	943
602	1429	940
603	1430	938
604	1432	935
605	1434	932
606	1437	930
607	1439	928
608	1441	925
609	1443	922
610	1445	920
611	1447	917
612	1450	915
613	1452	913
614	1454	910
615	1455	907
616	1457	904
617	1460	902
618	1462	900
619	1464	897
620	1466	894
621	1468	892
622	1470	889
623	1473	887
624	1475	885
625	1477	882
626	1479	880
627	1481	877
628	1485	875
629	1487	873
630	1488	870
631	1490	867
632	1492	865
633	1496	863
634	1498	861
635	1500	858
636	1502	856
637	1504	853
638	1505	850
639	1508	848
640	1510	846
641	1512	843
642	1514	840
643	1515	838
644	1517	835
645	1520	833
646	1522	830
647	1524	828
648	1526	825
649	1527	822
650	1530	820
651	1532	818
652	1534	815
653	1536	813
654	1538	810
655	1540	807
656	1543	805
657	1545	803
658	1547	800
659	1548	797
660	1550	795
661	1553	792
662	1555	790
663	1557	788
664	1559	785
665	1561	782
666	1563	780
667	1566	778
668	1568	776
669	1570	773
670	1572	771
671	1574	768
672	1577	766
673	1579	764
674	1581	761
675	1583	758
676	1585	756
677	1587	753
678	1590	751
679	1592	749
680	1594	746
681	1596	744
682	1598	741
683	1600	739
684	1602	737
685	1604	734
686	1606	732
687	1608	729
688	1610	727
689	1613	725
690	1615	722
691	1617	720
692	1619	717
693	1621	714
694	1623	712
695	1626	710
696	1628	708
697	1630	705
698	1632	703
699	1634	700
700	1637	698
701	1640	696
702	1642	693
703	1643	691
704	1645	688
705	1649	686
706	1651	684
707	1653	681
708	1655	679
709	1657	676
710	1660	674
711	1662	672
712	1664	670
713	1666	667
714	1668	665
715	1670	662
716	1673	660
717	1675	658
718	1677	655
719	1680	653
720	1682	650
721	1685	648
722	1687	646
723	1689	643
724	1690	641
725	1693	638
726	1696	637
727	1699	634
728	1701	632
729	1703	630
730	1705	627
731	1709	625
